reps,date_front_squat,front_squat,date_back_squat,back_squat,date_deadlift,deadlift,date_barbell_bench_press,barbell_bench_press
0.0,2020-04-30,225.0,2020-10-05,295.0,2020-10-07,365.0,2020-07-31,230.0
1.0,2020-04-30,225.0,2020-06-28,295.0,2020-08-24,365.0,2020-07-31,230.0
2.0,2020-04-30,205.0,2020-09-24,275.0,2020-09-21,315.0,2020-07-31,210.0
3.0,2020-06-17,205.0,2020-10-26,275.0,2020-10-30,315.0,2020-10-28,210.0
4.0,2020-04-30,205.0,2020-09-24,255.0,2020-09-21,305.0,2020-04-30,185.0
5.0,2020-06-17,205.0,2020-10-01,250.0,2020-09-29,305.0,2020-07-31,185.0
6.0,2020-04-30,155.0,2020-10-19,245.0,2020-10-23,305.0,2020-10-21,185.0
7.0,2020-04-30,155.0,2020-04-05,225.0,2020-04-17,235.0,2020-04-30,155.0
8.0,2020-04-30,155.0,2020-10-12,225.0,2020-10-16,235.0,2020-10-14,155.0
9.0,2020-01-11,95.0,2020-08-13,95.0,,,2019-10-23,85.0
10.0,2020-01-11,95.0,2020-08-13,95.0,,,,
12.0,,,2020-08-13,95.0,,,,
